runtime,budget_in_USD,imdbVotes,IMDBscore,TomatoesScore,Metascore,Domestic_box_office,Theater_num,movie_2_before,movie_1_before,movie_0_before,Actor_2_before,Actor_1_before,Actor_0_before
157,150000000,488024,0.77,0.88,0.81,290201752,3858.0,70,97,100,18.75,19.75,34.5
140,150000000,1186021,0.82,0.84,0.7,205343774,3858.0,34,100,81,45.75,84.0,78.0
119,40000000,313891,0.7,0.75,0.64,209218368,3131.0,18,52,100,24.0,46.0,51.25
124,40000000,713799,0.8,0.77,0.74,74103820,3230.0,37,88,100,19.25,57.75,84.5
129,28000000,230583,0.78,0.86,0.82,38372662,1335.0,48,100,94,11.25,6.5,11.5
121,100000000,277215,0.7,0.46,0.5,75976178,3006.0,42,100,100,11.0,17.0,30.5
187,207000000,365060,0.72,0.84,0.81,218080025,3627.0,55,100,90,22.25,60.0,56.5
115,150000000,388572,0.66,0.82,0.72,206459076,3790.0,38,92,100,35.25,34.0,56.5
134,14000000,298658,0.77,0.87,0.87,83043761,2089.0,70,75,100,37.5,20.25,29.25
96,,96529,0.62,0.42,0.47,32596916,2505.0,29,100,61,18.0,24.75,22.5
132,54000000,946204,0.82,0.73,0.62,70511035,3365.0,27,62,100,31.25,44.25,38.0
94,3000000,83726,0.68,0.31,0.3,16124543,1652.0,100,33,66,19.5,25.25,12.75
144,130000000,249370,0.72,0.39,0.63,47398413,3219.0,37,100,77,10.0,9.75,42.25
143,180000000,339028,0.69,0.76,0.75,291710957,3853.0,39,20,100,5.25,36.25,68.25
119,39000000,269129,0.79,0.83,0.74,25514517,2189.0,23,31,78,0.0,0.0,0.0
113,82000000,149978,0.64,0.31,0.48,158119460,3654.0,31,79,100,36.0,58.75,74.25
94,4800000,158178,0.59,0.61,0.55,47326473,2337.0,42,100,90,26.5,91.0,70.25
109,50000000,176810,0.68,0.6,0.63,51019112,3133.0,46,54,99,0.0,28.25,36.0
106,100000000,296153,0.57,0.27,0.4,56117548,4004.0,46,100,97,19.0,61.0,42.25
116,132000000,385988,0.65,0.75,0.73,234280354,3910.0,24,38,100,29.5,27.75,56.5
110,50000000,69903,0.59,0.21,0.45,18782227,2789.0,19,19,63,12.75,10.25,39.0
90,15000000,45017,0.61,0.11,0.32,31726995,1704.0,25,100,94,22.0,48.0,48.25
99,7000000,184443,0.72,0.85,0.71,26024456,2095.0,43,87,100,8.0,69.25,79.0
136,28000000,212036,0.79,0.83,0.72,119519402,3160.0,36,80,96,8.5,40.75,53.5
118,70000000,277152,0.66,0.68,0.58,177784257,3575.0,30,63,86,33.0,49.25,72.5
107,7000000,85901,0.69,0.53,0.53,17044981,1757.0,34,100,82,16.5,64.25,69.0
136,126000000,287882,0.69,0.4,0.5,35818913,3138.0,37,69,100,23.25,47.75,30.5
105,60000000,99403,0.52,0.19,0.34,28212337,3043.0,63,100,99,10.0,11.75,11.75
86,75000000,330035,0.69,0.55,0.57,193595521,4142.0,24,44,66,22.0,20.75,47.0
119,25000000,50716,0.65,0.77,0.66,39053061,2583.0,54,100,93,43.75,70.0,84.25
145,85000000,131282,0.74,0.35,0.54,57010853,1654.0,77,77,100,19.25,10.75,41.5
104,50000000,72339,0.51,0.14,0.33,80270227,3785.0,44,93,100,50.25,64.25,24.75
103,15000000,201904,0.76,0.85,0.72,4235837,226.0,88,81,77,20.25,16.0,12.5
124,15000000,191095,0.76,0.76,0.72,23089926,512.0,100,98,92,6.25,4.5,1.5
90,19000000,98858,0.6,0.24,0.33,65233369,3323.0,41,96,100,8.75,65.75,45.0
97,25000000,61341,0.66,0.73,0.59,47279279,2148.0,46,100,96,25.5,46.5,40.5
122,50000000,277099,0.76,0.62,0.62,24149632,2814.0,24,71,87,33.75,34.75,11.75
